retriever,judged_queries,unjudged_manual_queries,mean_judged_P@10,mean_possible_P@10,mean_normalized_P@10,mean_Hit@10,mean_Recall@10,mean_MRR@10,relevant_hits_total,best_judged_query,interpretation_note,limitation_note
dense,5,5,0.08,0.1,0.8,0.8,0.8,0.8,4,11133 (0.100),"Raw P@10 is capped by the number of relevant qrels. For one-relevant-passage queries, the best possible P@10 is 0.10.",Manual queries are displayed but excluded from judged metrics when qrels are unavailable.
hybrid,5,5,0.06000000000000001,0.1,0.6,0.6,0.6,0.6,3,11133 (0.100),"Raw P@10 is capped by the number of relevant qrels. For one-relevant-passage queries, the best possible P@10 is 0.10.",Manual queries are displayed but excluded from judged metrics when qrels are unavailable.
bm25,5,5,0.06000000000000001,0.1,0.6,0.6,0.6,0.5,3,11133 (0.100),"Raw P@10 is capped by the number of relevant qrels. For one-relevant-passage queries, the best possible P@10 is 0.10.",Manual queries are displayed but excluded from judged metrics when qrels are unavailable.
